#
# Unicode mapping table for font Solarize.12x29.psf
#
0x0ff	[đ]
0x100	[è] [ѐ]
0x101	[é]
0x102	[ê]
0x103	[ë] [ё]
0x104	[ē]
0x105	[ė]
0x106	[ę]
0x107	[ě]
0x108	[ĝ]
0x109	[ğ]
0x10a	[ġ]
0x10b	[ģ]
0x10c	[ǥ]
0x10d	[ǧ]
0x10e	[ĥ]
0x10f	[ħ]
0x110	[ì]
0x111	[í]
0x112	[î]
0x113	[ï] [ї]
0x114	[ī]
0x115	[į]
0x116	[ı]
0x117	[ĵ]
0x118	[ķ]
0x119	[ǩ]
0x11a	[ĺ]
0x11b	[ļ]
0x11c	[ľ]
0x11d	[ŀ]
0x11e	[ł]
0x11f	[ñ]
0x120	[ń]
0x121	[ņ]
0x122	[ň]
0x123	[ò]
0x124	[ó] [ό]
0x125	[ô]
0x126	[õ]
0x127	[ö]
0x128	[ō]
0x129	[ő]
0x12a	[ŕ]
0x12b	[ř]
0x12c	[ś]
0x12d	[ŝ]
0x12e	[ş]
0x12f	[š]
0x130	[ș]
0x131	[ť]
0x132	[ŧ]
0x133	[ț] [ţ]
0x134	[ù]
0x135	[ú]
0x136	[û]
0x137	[ü]
0x138	[ū]
0x139	[ŭ]
0x13a	[ů]
0x13b	[ű]
0x13c	[ų]
0x13d	[ŵ]
0x13e	[ẁ]
0x13f	[ẃ]
0x140	[ẅ]
0x141	[ý]
0x142	[ŷ]
0x143	[ÿ]
0x144	[ỳ]
0x145	[ź]
0x146	[ż]
0x147	[ž]
0x148	[ǯ] # small zsh
0x149	[Ǖ]
0x14a	[ǖ]
0x14b	[Ǘ]
0x14c	[ǘ]
0x14d	[Ǚ]
0x14e	[ǚ]
0x14f	[Ǜ]
0x150	[ǜ]
0x151	[«]
0x152	[‾] [¯]
0x153	[°]
0x154	[±]
0x155	[²]
0x156	[³]
0x157
0x158	[¶]
0x159	[·] [·] [•]
0x15a
0x15b	[¹]
0x15c	[º]
0x15d	[»]
0x15e	[¿]
0x15f	[×]
0x160	[÷] # division symbol
0x161
0x162
0x163
0x164
0x165	[„] [〟] # ,,
0x166	[…]
0x167	[‰]
0x168	[‹]
0x169	[›]
0x16a	[™] # trademark
0x16b	[¡]
0x16c	[§]
0x16d   [“] [‟] # "
0x16e	[©] [Ⓒ]
0x16f	[ª]
0x170	[®] [Ⓡ]
0x171	[Ά]
0x172	[Έ]
0x173	[Ή]
0x174	[Ί]
0x175	[Ό]
0x176	[Ύ]
0x177	[Ώ]
0x178	[ΐ]
0x179	[Γ] [Г]
0x17a	[Δ] # DELTA
0x17b	[Θ]
0x17c	[Λ]
0x17d	[Ξ]
0x17e	[Π] [П]
0x17f	[Σ]
0x180	[Φ] [Ф]
0x181	[Ψ]
0x182	[Ω] [Ω]
0x183
0x184	[ά]
0x185	[έ]
0x186	[ή]
0x187	[ί]
0x188	[ΰ]
0x189	[α]
0x18a	[β]
0x18b	[γ]
0x18c	[δ]
0x18d	[ε]
0x18e	[ζ]
0x18f	[η]
0x190	[θ]
0x191	[ι]
0x192	[κ] [ĸ] [к]
0x193	[λ] # lambda
0x194	[μ] [µ]
0x195	[ν]
0x196	[ξ]
0x197	[π] # pi
0x198	[ρ]
0x199	[ς]
0x19a	[σ]
0x19b	[τ]
0x19c	[υ]
0x19d	[φ]
0x19e	[χ]
0x19f	[ψ]
0x1a0	[ω]
0x1a1	[ϊ]
0x1a2	[ϋ]
0x1a3
0x1a4	[ύ]
0x1a5	[ώ]
0x1a6
0x1a7
0x1a8	[Ђ]
0x1a9	[Ѓ]
0x1aa	[Є]
0x1ab	[Љ]
0x1ac	[Њ]
0x1ad	[Ћ]
0x1ae	[Ќ]
0x1af	[Ѝ]
0x1b0	[Ў]
0x1b1	[Џ]
0x1b2	[Б]
0x1b3	[Д]
0x1b4	[Ж]
0x1b5	[З]
0x1b6	[И]
0x1b7	[Й]
0x1b8	[Л]
0x1b9
0x1ba	[У]
0x1bb
0x1bc	[Ц]
0x1bd	[Ч]
0x1be	[Ш]
0x1bf	[Щ]
0x1c0	[Ъ]
0x1c1	[Ы]
0x1c2	[Ь]
0x1c3	[Э]
0x1c4	[Ю]
0x1c5	[Я]
0x1c6	[б]
0x1c7	[в]
0x1c8	[г]
0x1c9	[д]
0x1ca	[ж]
0x1cb	[з]
0x1cc	[и]
0x1cd	[й]
0x1ce
0x1cf	[л]
0x1d0	[м]
0x1d1	[н]
0x1d2   [п]
0x1d3	[т]
0x1d4
0x1d5	[ф]
