#
# Unicode mapping table for font Solarize.12x29.psf
#
0x000	U+fffd
0x0f3	U+00e3
0x0f4	U+00e4 U+04d3
0x0f5	U+00e5
0x0f6	U+0101
0x0f7	U+0103
0x0f8	U+0105
0x0f9	U+00e7
0x0fa	U+0107
0x0fb	U+0109
0x0fc	U+010b
0x0fd	U+010d
0x0fe	U+010f
0x0ff	U+0111
0x100	U+00e8 U+0450
0x101	U+00e9
0x102	U+00ea
0x103	U+00eb U+0451
0x104	U+0113
0x105	U+0117
0x106	U+0119
0x107	U+011b
0x108	U+011d
0x109	U+011f
0x10a	U+0121
0x10b	U+0123
0x10c	U+01e5
0x10d	U+01e7
0x10e	U+0125
0x10f	U+0127
0x110	U+00ec
0x111	U+00ed
0x112	U+00ee
0x113	U+00ef U+0457
0x114	U+012b
0x115	U+012f
0x116	U+0131
0x117	U+0135
0x118	U+0137
0x119	U+01e9
0x11a	U+013a
0x11b	U+013c
0x11c	U+013e
0x11d	U+0140
0x11e	U+0142
0x11f	U+00f1
0x120	U+0144
0x121	U+0146
0x122	U+0148
0x123	U+00f2
0x124	U+00f3 U+03cc
0x125	U+00f4
0x126	U+00f5
0x127	U+00f6
0x128	U+014d
0x129	U+0151
0x12a	U+0155
0x12b	U+0159
0x12c	U+015b
0x12d	U+015d
0x12e	U+015f
0x12f	U+0161
0x130	U+0219
0x131	U+0165
0x132	U+0167
0x133	U+021b U+0163
0x134	U+00f9
0x135	U+00fa
0x136	U+00fb
0x137	U+00fc
0x138	U+016b
0x139	U+016d
0x13a	U+016f
0x13b	U+0171
0x13c	U+0173
0x13d	U+0175
0x13e	U+1e81
0x13f	U+1e83
0x140	U+1e85
0x141	U+00fd
0x142	U+0177
0x143	U+00ff
0x144	U+1ef3
0x145	U+017a
0x146	U+017c
0x147	U+017e
0x148	U+01ef # small zsh
0x149	U+01d5
0x14a	U+01d6
0x14b	U+01d7
0x14c	U+01d8
0x14d	U+01d9
0x14e	U+01da
0x14f	U+01db
0x150	U+01dc
0x151	U+00ab
0x152	U+203e U+00af
0x153	U+00b0
0x154	U+00b1
0x155	U+00b2
0x156	U+00b3
0x157   U+2042 # asterism
0x158	U+00b6
0x159	U+00b7 U+0387 U+2022
0x15a
0x15b	U+00b9
0x15c	U+00ba
0x15d	U+00bb
0x15e	U+00bf
0x15f	U+00d7
0x160	U+00f7 # division symbol
0x161
0x162
0x163
0x164
0x165	U+201e U+301f # ,,
0x166	U+2026
0x167	U+2030
0x168	U+2039
0x169	U+203a
0x16a	U+2122 # trademark
0x16b	U+00a1
0x16c	U+00a7
0x16d   U+201c U+201f # "
